,document,score,review_score,most_words,Pos_Neu_Neg
57,피클.무.밥은 셀프무려제공. 레드크림파스타에 밥을 살짝 비벼먹어보세효~,3.5,0.8992,"[('밥', 2), ('피클', 1), ('무', 1), ('셀프', 1), ('무려', 1), ('제공', 1), ('레드', 1), ('크림', 1), ('파스타', 1), ('살짝', 1)]",긍정
58,포케스트에 등록된 '미국음식점'이란 분류...ㅎㅎ...미국음식점????..확실하게 그건 아닌거 같은데...???...ㅎㅎㅎㅎㅎ,4.0,0.9295,"[('미국', 2), ('음식점', 2), ('포케스트', 1), ('등록', 1), ('이란', 1), ('분류', 1), ('확실하게', 1), ('아닌거', 1), ('같은데', 1)]",긍정
59,기분좋게 잘 먹고 왔습니다.,3.0,0.958,"[('기분', 1), ('좋게', 1)]",긍정
60,Red galbi stew 가 특이해 보임,3.5,0.2898,"[('특이해', 1), ('보임', 1)]",부정
61,더치커피가 매운스파게티가 맛있는 곳  복층구조의    카페겸 레스토랑,3.5,0.9448,"[('더치커피', 1), ('매운', 1), ('스파게티', 1), ('맛있는', 1), ('곳', 1), ('복층', 1), ('구조', 1), ('카페', 1), ('겸', 1), ('레스토랑', 1)]",긍정
62,레드갈비스튜는 2단계 매운 스파게티 1단계면 눈물콧물 충분합니다. 스튜에 비벼먹을 수 있는 잡곡밥과 양념김이 무한리필이예요!,3.5,0.9788,"[('스튜', 2), ('단계', 2), ('레드', 1), ('갈비', 1), ('매운', 1), ('스파게티', 1), ('눈물', 1), ('콧물', 1), ('충분합니다', 1), ('수', 1)]",긍정
63,메뉴 주문 후 선결제. 셀프. 와인병에 물이 들어잇어서 귀요미:),3.5,0.899,"[('메뉴', 1), ('주문', 1), ('후', 1), ('선', 1), ('결제', 1), ('셀프', 1), ('와인', 1), ('병', 1), ('물이', 1), ('귀요미', 1)]",긍정
0,맛잇어요,5.0,0.8332,"[('맛', 1)]",긍정
1,마시써욥,4.0,0.6774,"[('욥', 1)]",긍정
2,그냥 싸고 양많아서 별점이 높은가 난 시끄럽고 맛없고 별로였음,2.0,0.0016,"[('그냥', 1), ('양', 1), ('많아서', 1), ('점', 1), ('높은가', 1), ('난', 1), ('시끄럽고', 1), ('맛없고', 1), ('별로', 1)]",부정
3,무난하게 맛있어요,5.0,0.9319,"[('무난', 1), ('맛있어요', 1)]",긍정
0,바로 맞은편 건물 5층으로 이전하면서 간판이 잘 안보이는데 공간이 훨씬더 고급스럽고 우와해 졌다. 잘 엄선된 코스요리를 정성것 서빙한다. 음식도 가격도 꽤 좋은 편이다.,5.0,0.915,"[('바로', 1), ('맞은편', 1), ('건물', 1), ('층', 1), ('이전', 1), ('간판', 1), ('공간', 1), ('더', 1), ('고급스럽고', 1), ('해', 1)]",긍정
1,음식다먹고 커피마시는데 쉐프님께서 직접오셔서 인사도해주시고 음식에 관해서 물어봐주셔서 몬가 귀한손님이된느낌들었어요,4.0,0.8827,"[('음', 1), ('커피', 1), ('쉐프', 1), ('직접', 1), ('인사', 1), ('해주시', 1), ('음식', 1), ('관해', 1), ('몬', 1), ('손님', 1)]",긍정
2,"조미료 사용을 최대한 절제한듯, 맛있어요",3.0,0.8531,"[('조미료', 1), ('사용', 1), ('최대한', 1), ('절제', 1), ('듯', 1), ('맛있어요', 1)]",긍정
3,다소 클래식하고 구성도 다소 단조로울수있지만 에오만의 느낌인거같아서 괜찮아요,5.0,0.8081,"[('다소', 2), ('클래식', 1), ('구성', 1), ('단조로울수있지만', 1), ('오만', 1), ('느낌', 1), ('같아서', 1), ('괜찮아요', 1)]",긍정
4,A코스와 B코스가 나뉘는데 B코스가 좀더 좋은재료를 사용하는거래요^^,4.0,0.308,"[('코스', 3), ('좀더', 1), ('좋은', 1), ('재료', 1), ('사용', 1)]",부정
5,조용하고 차분하면 정적인 분위기의 공간,5.0,0.959,"[('조용하고', 1), ('차분하면', 1), ('정적', 1), ('분위기', 1), ('공간', 1)]",긍정
6,음식의 퀄리티에비해 다른가게보다는 가격이 비교적 저렴?한편에 속해요~~,3.0,0.1848,"[('음식', 1), ('퀄리티', 1), ('가게', 1), ('가격', 1), ('비교', 1), ('저렴', 1), ('한편', 1), ('속', 1)]",부정
7,가격대가 싼편은아니지만 그만큼 맛도있어서 가끔 분위기 내고플때 가면 좋을듯 싶어요,4.0,0.9306,"[('가격', 1), ('대가', 1), ('편', 1), ('아니지만', 1), ('맛', 1), ('있어서', 1), ('가끔', 1), ('분위기', 1), ('내', 1), ('고플', 1)]",긍정
8,치즈도 맛있고 새우파스타랑 안심스테이크 맛있어요ㅎㅎ 후식도 마카롱도 좋아요ㅎㅎ,3.0,0.9934,"[('치즈', 1), ('맛있고', 1), ('새우', 1), ('파스타', 1), ('안심', 1), ('스테이크', 1), ('맛있어요', 1), ('후식', 1), ('마카롱', 1), ('좋아요', 1)]",긍정
9,파스타는 양을 대와 소로 주문을받아요,3.0,0.7629,"[('파스타', 1), ('양', 1), ('소로', 1), ('주문', 1)]",긍정
10,정갈하고 깔끔하면서도 적당한 양으로 편안한 코스요리가 특징이에용,3.0,0.9811,"[('정갈하고', 1), ('깔끔하면서도', 1), ('적당한', 1), ('양으로', 1), ('편안한', 1), ('코스', 1), ('요리', 1), ('특징', 1), ('용', 1)]",긍정
11,나올때 셰프님이 직접 배웅을하고 선물을주셔서 마지막까지 좋은기억으로 남게되요 ㅎ_ㅎ,4.0,0.9823,"[('때', 1), ('셰프', 1), ('직접', 1), ('배웅', 1), ('선물', 1), ('마지막', 1), ('좋은', 1), ('기억', 1), ('요', 1)]",긍정
12,조용한 분위기에서 식사를 하시고싶으실때 친절한 서비스로 대접받는 느낌을 받고싶으실때 추천,4.0,0.9835,"[('때', 2), ('조용한', 1), ('분위기', 1), ('식사', 1), ('친절한', 1), ('서비스', 1), ('느낌', 1), ('추천', 1)]",긍정
13,공간이 프라이빗으로 되어잇기때문에 다른손님들 방해없이 조용히 식사를하실수있어요 :),5.0,0.9467,"[('공간', 1), ('프라이', 1), ('빗', 1), ('때문', 1), ('손님', 1), ('방해', 1), ('조용히', 1), ('식사', 1)]",긍정
14,한우 안심구이 평타이상인듯 여자친구가 여기 너무좋아함,3.0,0.9839,"[('한우', 1), ('안심', 1), ('구이', 1), ('평타', 1), ('이상인', 1), ('듯', 1), ('여자친구', 1), ('여기', 1), ('좋아함', 1)]",긍정
15,새우파스타랑 전복구이먹었어요 맛있어맛있어ㅋ,3.0,0.9822,"[('맛있어', 2), ('새우', 1), ('파스타', 1), ('복구', 1)]",긍정
16,"해산물스프부터카르파치오,아구찜,파스타,스테이크,디저트2까지 45000원 최고",4.0,0.9312,"[('해산물', 1), ('스프', 1), ('카르파치오', 1), ('아구찜', 1), ('파스타', 1), ('스테이크', 1), ('디저트', 1), ('최고', 1)]",긍정
17,깔끔한 플레이팅과 직원들의 조용한 서비스가 식사내내 아주편안했어요 ㅋㅋㅋㅋㅋ,4.0,0.9908,"[('깔끔한', 1), ('플레이', 1), ('팅', 1), ('직원', 1), ('조용한', 1), ('서비스', 1), ('식사', 1), ('내내', 1), ('아주', 1), ('편안했어요', 1)]",긍정
18,그날그날 메뉴가달라요 예약을하면 하루전 전화와서 코스중 어떤걸 택할지 묻고 가리는식재료있는지도 물어봅니다 ㅋ,3.0,0.1817,"[('그날그날', 1), ('메뉴', 1), ('달라', 1), ('예약', 1), ('하루', 1), ('전', 1), ('전화', 1), ('코스', 1), ('걸', 1), ('택할', 1)]",부정
19,하나하나 맛있는 코스요리를 드시고싶고 프라이빗한 느낌을 원하실때가세요,5.0,0.957,"[('하나', 2), ('맛있는', 1), ('코스', 1), ('요리', 1), ('프라이', 1), ('빗', 1), ('느낌', 1), ('원하실', 1), ('때', 1), ('가세', 1)]",긍정
20,그날그날 신선한 재료로만드는 창의적인 이탈리안 요리를 맛볼수잇는 부띠크 다이닝으로 유명,5.0,0.6879,"[('그날그날', 1), ('신선한', 1), ('재료', 1), ('창의', 1), ('이탈리안', 1), ('요리', 1), ('부띠', 1), ('다이닝', 1), ('유명', 1)]",긍정
21,런치코스 매우 알차고 훌륭했었던 기억. 또 가고 싶네요!,5.0,0.9852,"[('런치', 1), ('코스', 1), ('매우', 1), ('알차고', 1), ('훌륭했었던', 1), ('기억', 1), ('또', 1)]",긍정
22,서비스가 고객을 최대한 편안하게 해주시면서 신경많이 써주셔서 좋았어요ㅎㅎ 음식도맛있어요,3.0,0.9615,"[('서비스', 1), ('고객', 1), ('최대한', 1), ('편안하게', 1), ('좋았어요', 1), ('음식', 1), ('맛있어요', 1)]",긍정
23,플레이팅도 너무 고급스럽고 맛있어요ㅎㅎ,4.0,0.9864,"[('플레이', 1), ('팅', 1), ('고급스럽고', 1), ('맛있어요', 1)]",긍정
24,몇몇요리들 빼고는 가격대비 최고에요!,5.0,0.9806,"[('요리', 1), ('가격', 1), ('대비', 1), ('최고', 1)]",긍정
25,연어도 마싯고 와인에 파스타도맛있었음,3.0,0.9568,"[('연어', 1), ('와인', 1), ('파스타', 1), ('맛있었음', 1)]",긍정
26,분위기너무좋아서 남자진구랑 잘 먹고왔습니다^^,5.0,0.9838,"[('분위기', 1), ('좋아서', 1), ('남자', 1), ('진구', 1)]",긍정
27,푸아그라 맛있음,3.0,0.9502,"[('푸아그라', 1), ('맛있음', 1)]",긍정
28,덩어리로 나오는 에피타이저 치즈 너무 조아용ㅎㅎ,5.0,0.9548,"[('덩어리', 1), ('에피타이저', 1), ('치즈', 1), ('조아용', 1)]",긍정
29,남자친구랑 기념일이라서 코스로 먹었는데 음식 다 만족! 간도 정말 적절하고 최고에요,3.0,0.997,"[('남자친구', 1), ('기념일', 1), ('코스', 1), ('음식', 1), ('만족', 1), ('간도', 1), ('정말', 1), ('적절하고', 1), ('최고', 1)]",긍정
30,야외정원 너무이뻐용ㅎ,3.0,0.9713,"[('야외', 1), ('정원', 1), ('이뻐용', 1)]",긍정
31,테이블이 적어서 예약을 미리미리 해야해요,3.0,0.7597,"[('미리', 2), ('테이블', 1), ('예약', 1), ('해', 1)]",긍정
